 ./CARDS/YoungORCA_Vs_Vp_Rho_lsqr_kernel_bs1000_smLVZdQdz_disc                    ref per =  -1.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   136   2660000.0    11016.52     9212.61     9212.61        0.00        0.00     1.00000   999999.00   999999.00
   137   2680000.0    10993.82     9190.12     9190.12        0.00        0.00     1.00000   999999.00   999999.00
   138   2700000.0    10970.92     9167.39     9167.39        0.00        0.00     1.00000   999999.00   999999.00
   139   2720000.0    10947.80     9144.42     9144.42        0.00        0.00     1.00000   999999.00   999999.00
   140   2740000.0    10924.48     9121.20     9121.20        0.00        0.00     1.00000   999999.00   999999.00
   141   2760000.0    10900.94     9097.73     9097.73        0.00        0.00     1.00000   999999.00   999999.00
   142   2780000.0    10877.18     9074.00     9074.00        0.00        0.00     1.00000   999999.00   999999.00
   143   2800000.0    10853.22     9050.02     9050.02        0.00        0.00     1.00000   999999.00   999999.00
   144   2820000.0    10829.04     9025.78     9025.78        0.00        0.00     1.00000   999999.00   999999.00
   145   2840000.0    10804.64     9001.28     9001.28        0.00        0.00     1.00000   999999.00   999999.00
   146   2860000.0    10780.02     8976.52     8976.52        0.00        0.00     1.00000   999999.00   999999.00
   147   2880000.0    10755.19     8951.49     8951.49        0.00        0.00     1.00000   999999.00   999999.00
   148   2900000.0    10730.13     8926.20     8926.20        0.00        0.00     1.00000   999999.00   999999.00
   149   2920000.0    10704.86     8900.63     8900.63        0.00        0.00     1.00000   999999.00   999999.00
   150   2940000.0    10679.36     8874.79     8874.79        0.00        0.00     1.00000   999999.00   999999.00
   151   2960000.0    10653.64     8848.67     8848.67        0.00        0.00     1.00000   999999.00   999999.00
   152   2980000.0    10627.70     8822.28     8822.28        0.00        0.00     1.00000   999999.00   999999.00
   153   3000000.0    10601.53     8795.60     8795.60        0.00        0.00     1.00000   999999.00   999999.00
   154   3020000.0    10575.14     8768.65     8768.65        0.00        0.00     1.00000   999999.00   999999.00
   155   3040000.0    10548.52     8741.40     8741.40        0.00        0.00     1.00000   999999.00   999999.00
   156   3060000.0    10521.67     8713.87     8713.87        0.00        0.00     1.00000   999999.00   999999.00
   157   3080000.0    10494.59     8686.05     8686.05        0.00        0.00     1.00000   999999.00   999999.00
   158   3100000.0    10467.29     8657.93     8657.93        0.00        0.00     1.00000   999999.00   999999.00
   159   3120000.0    10439.75     8629.52     8629.52        0.00        0.00     1.00000   999999.00   999999.00
   160   3140000.0    10411.98     8600.81     8600.81        0.00        0.00     1.00000   999999.00   999999.00
   161   3160000.0    10383.98     8571.80     8571.80        0.00        0.00     1.00000   999999.00   999999.00
   162   3180000.0    10355.74     8542.48     8542.48        0.00        0.00     1.00000   999999.00   999999.00
   163   3200000.0    10327.27     8512.86     8512.86        0.00        0.00     1.00000   999999.00   999999.00
   164   3220000.0    10298.57     8482.93     8482.93        0.00        0.00     1.00000   999999.00   999999.00
   165   3240000.0    10269.62     8452.69     8452.69        0.00        0.00     1.00000   999999.00   999999.00
   166   3260000.0    10240.44     8422.14     8422.14        0.00        0.00     1.00000   999999.00   999999.00
   167   3280000.0    10211.02     8391.27     8391.27        0.00        0.00     1.00000   999999.00   999999.00
   168   3300000.0    10181.36     8360.08     8360.08        0.00        0.00     1.00000   999999.00   999999.00
   169   3320000.0    10151.46     8328.57     8328.57        0.00        0.00     1.00000   999999.00   999999.00
   170   3340000.0    10121.31     8296.74     8296.74        0.00        0.00     1.00000   999999.00   999999.00
   171   3360000.0    10090.93     8264.58     8264.58        0.00        0.00     1.00000   999999.00   999999.00
   172   3380000.0    10060.29     8232.09     8232.09        0.00        0.00     1.00000   999999.00   999999.00
   173   3400000.0    10029.42     8199.28     8199.28        0.00        0.00     1.00000   999999.00   999999.00
   174   3420000.0     9998.29     8166.12     8166.12        0.00        0.00     1.00000   999999.00   999999.00
   175   3440000.0     9966.92     8132.63     8132.63        0.00        0.00     1.00000   999999.00   999999.00
   176   3460000.0     9935.31     8098.81     8098.81        0.00        0.00     1.00000   999999.00   999999.00
   177   3480000.0     9903.44     8064.64     8064.64        0.00        0.00     1.00000   999999.00   999999.00
